title,videoIDS,publishedDate,likes,views,comment
THIS ASSET could have given YOU 43% ANNUAL RETURNS! | Investing for Beginners | Ankur Warikoo Hindi,GbP2LXzyp2Q,2022-08-30T16:00:18Z,50,95,6
There is NOTHING you CANNOT DO! | Money talks with @Finance With Sharan |  Ankur Warikoo,TgH1RDdCCCs,2022-08-27T16:00:16Z,3612,94420,427
HOW do MY Interns EARN MORE MONEY THAN a FULL TIME EMPLOYEE?! | Ankur Warikoo Hindi,-DjPMNIQiuE,2022-08-25T16:00:01Z,7325,152780,1238
6 COURSES that will CHANGE YOUR CAREER! | Online Courses and Skills 2022 | Warikoo Hindi,-lRjuaJRKZg,2022-08-23T16:00:00Z,7056,136625,3187
Zerodha founder on INVESTING and MAKING MONEY! | Money Talks with Nikhil Kamath | Ankur Warikoo,nb7HmodAn-M,2022-08-20T16:00:34Z,4379,129384,454
"30 Books YOU NEED to READ, NOW! | Book Recommendations 2022 | Ankur Warikoo Hindi",nXPSurPBBUg,2022-08-18T16:00:29Z,17146,251548,20876
My CALCULATORS for FINANCIAL GOAL SETTING! | Personal Finance for 20s! | Warikoo Hindi,6C3e3Tf7gaQ,2022-08-16T16:00:03Z,7018,154623,737
Systematic Withdrawal Plan EXPLAINED! | EARN and MAKE MONEY while INVESTING! | Warikoo Hindi,UHk2YF0TK10,2022-08-13T16:00:14Z,7053,204277,662
"Making MONEY at the AGE of 15, CONTENT and MORE! | Money talks with Anushka Rathod | Warikoo Hindi",A7Iyq9LTPOU,2022-08-11T16:00:06Z,2533,79430,428
You CAN'T MISS THIS if YOU'RE in your 20s! | The DEFINING DECADE with Meg Jay! | Warikoo,x3wk42WHHdA,2022-08-09T16:00:37Z,2673,64276,185
30+% RETURNS? | Momentum Investing EXPLAINED for Beginners! | Warikoo Hindi,p6c7_QLw4no,2022-08-06T16:00:23Z,2280,87049,690
This WOULD HAVE made me MORE SUCCESSFUL! | Common First Job Mistakes | Warikoo Hindi,zQQHtcddIqE,2022-08-04T16:00:37Z,7996,167716,727
Money Talks with Psychology of Money author Morgan Housel! | Ankur Warikoo,0MJWmHWcMgk,2022-08-02T16:00:00Z,6649,172830,585
"SHARK TANK Ghazal Alagh on Business, Money and MORE! | Money Talks | Warikoo Hindi",UoT1gVN0Go8,2022-07-30T16:00:30Z,5163,157172,592
5 STEPS YOU can take to OVERCOME FAILURE | Warikoo Hindi,5KWt3JyT94E,2022-07-28T16:00:03Z,5799,105251,779
STOCK MARKET INVESTING for BEGINNERS! | Investment Tips 2022 | Warikoo Hindi,HNPbY6fSeo8,2022-07-26T16:00:20Z,8702,180315,1060
THE MAN WHO MAKES MORE PEOPLE DREAM! | KUNAL SHAH on Money talks! | Ankur Warikoo Hindi,GaC9m93ACP8,2022-07-23T16:00:16Z,11248,311630,894
10 PROVEN ways to get PAID INTERNSHIPS! | Earn Money in 2022 | Ankur Warikoo Hindi,iAyP6IZCXX4,2022-07-21T16:00:26Z,3317,61987,290
Money Traps to Avoid in your 20s! | The World teaches you wrong lessons! | Ankur Warikoo Hindi,n4Cadc9q2IY,2022-07-19T16:00:26Z,7497,132744,1133
Choosing Mutual Funds for the BEST RETURNS! | Investing for Beginners | Warikoo Hindi,FhI19ZW4ArM,2022-07-16T16:00:11Z,6774,179794,500
30 WAYS TO MAKE MONEY EXPLAINED! | Passive Income Ideas 2022 | Ankur Warikoo Hindi,EpK8o2MXijU,2022-07-14T16:00:10Z,11157,244197,750
Sapiens Book Review (Hindi) in 10 MINUTES! | Book Recommendations 2022 | Ankur Warikoo,y2wx42dVKzo,2022-07-12T16:00:36Z,4895,105159,7361
"""GOOGLE MAPS helped me EARN MONEY!!"" | @Neha Nagar on Money Talks! | Ankur Warikoo Hindi",xQnI8r5udc4,2022-07-09T16:00:33Z,6229,215644,652
DOING AN MBA CAN GIVE YOU A 30% SALARY HIKE! | Benefits of ONLINE MBA | Ankur Warikoo Hindi,wa9Sm2Fmmro,2022-07-07T16:00:37Z,3830,83108,767
I took ONE DECISION and it CHANGED MY LIFE! | Making Money buys you FREEDOM | Warikoo Hindi,dFXZ-lmt0ck,2022-07-05T16:07:22Z,9095,165925,1653
LOSS of 25 LAKHS+ to BUILDING MULTIPLE BUSINESSES! | Money talks with @Aman Dhattarwal | Warikoo,66V6YAYBVDo,2022-06-30T16:00:07Z,10816,233667,687
